x1,x2,x3,x4,y_predsr,y_test,y_pred
5.8,4.0,1.2,0.2,2.6374766339347766,2,3
5.1,2.5,3.0,1.1,1.875895577230102,3,2
6.6,3.0,4.4,1.4,2.245832346238536,3,2
5.4,3.9,1.3,0.4,2.4267064477285687,2,2
7.9,3.8,6.4,2.0,2.1936114553903963,1,2
6.3,3.3,4.7,1.6,1.985943898546307,3,2
6.9,3.1,5.1,2.3,1.8881982588796606,1,2
5.1,3.8,1.9,0.4,2.214628188582824,2,2
4.7,3.2,1.6,0.2,2.104481671400303,2,2
6.9,3.2,5.7,2.3,1.7027631241314811,1,2
5.6,2.7,4.2,1.3,1.7697812227258427,3,2
5.4,3.9,1.7,0.4,2.3706655148098545,2,2
7.1,3.0,5.9,2.1,1.7576949649834068,1,2
6.4,3.2,4.5,1.5,2.1154440564392574,3,2
6.0,2.9,4.5,1.5,1.8495976570150316,3,2
4.4,3.2,1.3,0.2,2.0148006078596903,2,2
5.8,2.6,4.0,1.2,1.954505030619089,3,2
5.6,3.0,4.5,1.5,1.6633009710708013,3,2
5.4,3.4,1.5,0.4,2.3655711198838163,2,2
5.0,3.2,1.2,0.2,2.265443917391515,2,2
5.5,2.6,4.4,1.2,1.6585572485786715,3,2
5.4,3.0,4.5,1.5,1.559749058889882,3,2
6.7,3.0,5.0,1.7,1.993618065853453,3,2
5.0,3.5,1.3,0.3,2.2562723804270246,2,2
7.2,3.2,6.0,1.8,1.9106621151923542,1,2
5.7,2.8,4.1,1.3,1.8774615091060203,3,2
5.5,4.2,1.4,0.2,2.511697981641,2,3
5.1,3.8,1.5,0.3,2.29111744640479,2,2
6.1,2.8,4.7,1.2,1.9051413779792918,3,2
6.3,2.5,5.0,1.9,1.6195618969538383,1,2
6.1,3.0,4.6,1.4,1.9185690795559278,3,2
7.7,3.0,6.1,2.3,1.9346957917307965,1,2
5.6,2.5,3.9,1.1,1.8970142254383515,3,2
6.4,2.8,5.6,2.1,1.4593484763323625,1,1
5.8,2.8,5.1,2.4,1.244063351749253,1,1
5.3,3.7,1.5,0.2,2.383854015655069,2,2
5.5,2.3,4.0,1.3,1.705338211390124,3,2
5.2,3.4,1.4,0.2,2.338318847267247,2,2
